,name,category,subcategory,price,created_at,purchase_opportunity,description
0,Cotton Turtle Basket,New Arrivals,New Kids,48.0,2021-09-02 13:30:42-06:00,Yes,"The cream knit of the Cotton Turtle Basket creates a timeless, vintage feel for this playfully shaped bin. The round lined basket in the center of the turtle shape brings versatility to the piece, making it a practical yet imaginative choice for children’s rooms."
1,Rattan Picnic Basket,New Arrivals,New Kids,54.0,2022-04-04 11:29:27-06:00,Yes,"Whether used for playtime or decor, the petite Rattan Picnic Basket makes organization effortlessly playful and beautiful. Its natural material gives the piece an organic texture that rounds out decorative vignettes throughout your child’s room."
2,Navy Pulled Lines,New Arrivals,New Kids,995.0,2022-05-04 14:02:44-06:00,Possible to order,"Simple meets playful in the Navy Pulled Lines kid’s artwork. A giclee print on linen, this piece features five long, deep navy bands of varying lengths for a whimsical take on contemporary art. Navy Pulled Lines is gallery-wrapped, giving it museum-quality treatment.   
Our art pieces are made to order and cannot be canceled, returned or exchanged."
3,Woven Lidded Basket,New Arrivals,New Kids,40.0,2021-07-16 13:41:23-06:00,Yes,"Woven from wicker, the Woven Lidded Basket has a perfectly rounded shape for a balance of simplicity and rich texture. Its lid completes the design with an exaggerated handle, making it an understated focal point in decorative vignettes around the room."
4,Rosalind Floral Wallpaper,New Arrivals,New Kids,124.0,2022-01-12 12:55:06-07:00,Yes,"The Rosalind Floral Wallpaper has such a romantic, whimsical feel. Its intricate pattern has a vintage-inspired design, and its tonal palette is versatile and elegant. On unpasted, premium non-woven paper, its design is surface printed for an exceptionally high-quality wallpaper."
5,White Pulled Lines,New Arrivals,New Kids,995.0,2022-05-04 14:02:46-06:00,Possible to order,"Simple meets playful in the White Pulled Lines kid’s artwork. A giclee print on linen, this piece features five long, white bands of varying lengths for a whimsical take on contemporary art. White Pulled Lines is gallery-wrapped, giving it museum-quality treatment.   
Our art pieces are made to order and cannot be canceled, returned or exchanged."
6,Gingham Kids Chair,New Arrivals,New Kids,195.0,2021-12-15 10:20:21-07:00,No,"Crafted from 100% performance-rated polyester and filled with polyfill, the Gingham Kids Chair has a timeless pattern with a modern twist. We designed this piece with both leisure and recreation in mind, making it comfortable enough for story time and durable enough for play. Its green and white palette is calming yet playful, bringing a dreamy feel to any child’s room."
7,Neutral Dancer,New Arrivals,New Kids,480.0,2021-11-11 09:49:45-07:00,Possible to order,"Mounted in a pickled white frame, Neutral Dancer is a giclee art print on paper, covered in plexiglass. This museum-quality piece features a sketch of a dancer that is given strong contrast in a tonal palette. With varied shades, this piece is perfect for a child’s room. 
Our art pieces are made to order and cannot be canceled, returned or exchanged."
8,Tan Tonal Abstract,New Arrivals,New Kids,500.0,2022-05-04 14:02:46-06:00,Possible to order,"In a naturally finished frame, the Tan Tonal Abstract plays with palette to create interest with contrasting tones. Printed on linen, this piece is hand-embellished with artist enhancements to create a beautiful, natural-feeling texture. Crafted with attention to detail, this abstract artwork is a gallery-quality piece that makes a pronounced presence in your home.  
Our art pieces are made to order and cannot be canceled, returned or exchanged."
9,Vaughn Crib,New Arrivals,New Kids,1200.0,2021-07-06 11:49:05-06:00,Yes,"In a design of Scandinavian-inspired simplicity, the Vaughn Crib brings a neutral and airy design to the nursery. This piece features mortise and tenon joinery and smooth lines, crafted with beech wood. Kid-tested for safety and adult-approved for its aesthetic and elegance, the Vaughn crib is a timeless foundation."
10,Sketched Bunny I,New Arrivals,New Kids,375.0,2022-05-04 14:02:46-06:00,Possible to order,"Subtle and imaginative, the Sketched Bunny I giclee print has a whimsical feel that nods to childhood fairytales. Mounted in a wood frame in a silver finish, this piece’s airy style and intricate linework bring detail to simplicity and give a refined yet playful tone to children’s rooms. 
Our art pieces are made to order and cannot be canceled, returned or exchanged."
11,Chick Cut-Outs,New Arrivals,New Kids,275.0,2021-11-11 09:49:45-07:00,Possible to order,"With three minimally sketched baby chicks, Chick Cut-Outs is a balanced and endearing piece for children’s bedrooms. Its offset layout and giclee print add refinement to its appearance. This piece tells a captivating story in a simple, line-drawn composition reminiscent of a children’s book. 
Our art pieces are made to order and cannot be canceled, returned or exchanged."
12,Alistair Glider,New Arrivals,New Kids,1500.0,2021-10-13 15:00:53-06:00,Yes,"Crafted with performance linen, the Alistair Glider is intended to be a timeless and durable take on the rocking chair. Its deep seat with straightforward lines, paired with the curved armrests, creates a modern yet welcoming feel to the room. With a neutral cream color and soft seat cushion, the Alistair Glider is a comfortable addition to any room."
13,Sketched Bunny II,New Arrivals,New Kids,375.0,2022-05-04 14:02:46-06:00,Possible to order,"Subtle and imaginative, the Sketched Bunny II giclee print has a whimsical feel that nods to childhood fairytales. Mounted in a wood frame in a silver finish, this piece’s airy style and intricate linework bring detail to simplicity and give a refined yet playful tone to children’s rooms.  
Our art pieces are made to order and cannot be canceled, returned or exchanged."
14,You are Magique,New Arrivals,New Kids,360.0,2021-11-11 09:49:45-07:00,Possible to order,"Sending affirmations to your little ones, the You are Magique artwork is a flat, white distressed giclee on paper in a chalkboard-style design. Mounted in a simple wood frame and plexiglass, this is a timeless piece of children’s artwork that brings an extra dose of positivity to the room.  
Our art pieces are made to order and cannot be canceled, returned or exchanged."
15,Sketched Dancer,New Arrivals,New Kids,450.0,2022-05-04 14:02:46-06:00,Possible to order,"Elegant yet imaginative, Sketched Dancer is a giclee print on matte paper. Mounted in a wood, textured gold frame that is encased in standard glass, this dancer sketch brings a sense of wonder to children’s rooms.  
Our art pieces are made to order and cannot be canceled, returned or exchanged."
16,Clea Ruffle Pillow Cover,New Arrivals,New Kids,88.0,2021-05-19 15:34:04-06:00,Yes,"With a color scheme of mixed pastels, the Clea Ruffle Pillow Cover is a beautiful addition to pillow vignettes. The detailed floral pattern is uniquely intricate, while the ruffled edges add necessary texture and dimension to make this pillow cover an asset for any bedding decor.  
Down insert is not included."
17,Black & White Bouquet,New Arrivals,New Kids,140.0,2022-03-25 09:03:58-06:00,Possible to order,"A historically inspired sketch and frame, the Black & White Bouquet adds character to your rooms. Fine line details and an imaginative collection of flowers bring to life a whimsical garden through this still-life drawing. 
Our art pieces are made to order and cannot be canceled, returned or exchanged."
18,Primary Abstract on Canvas,New Arrivals,New Kids,1595.0,2022-03-25 09:03:58-06:00,Possible to order,"﻿With lively, abstract scribbles scattered throughout a thoughtful composition, Primary Abstract on Canvas features bright spots of color on a neutral, textured background. Its energetic feel brings liveliness to child’s bedrooms, and the piece is float-framed on canvas. 
Our art pieces are made to order and cannot be canceled, returned or exchanged."
19,Alistair Ottoman,New Arrivals,New Kids,400.0,2021-10-13 15:00:53-06:00,No,"With cream-colored fabric, The Alistair Ottoman is a beautiful, complementary piece to any neutral or modern room. Crafted with performance linen, this ottoman is designed for both function and long-lasting comfort."
20,Deer Silhouette,New Arrivals,New Kids,400.0,2022-01-19 10:39:12-07:00,Possible to order,"A silkscreen print of a deer on hand-made paper, Deer Silhouette is as masterfully crafted as it is imaginative. The silver paper floated in a matte white frame adds unique dimension to this piece, making it the perfect way to add intentional detail to any children’s room. 
Our art pieces are made to order and cannot be canceled, returned or exchanged."
21,Pink Blooming Flowers,New Arrivals,New Kids,1300.0,2022-05-04 14:02:44-06:00,Possible to order,"Delicate and whimsical, Pink Blooming Flowers is a giclee print on deckled watercolor paper. Its watercolor composition has a soft pink palette, and the piece is floated in a natural wood frame that keeps the design timeless and elegant.   
Our art pieces are made to order and cannot be canceled, returned or exchanged."
22,Natural Rattan Rattle,New Arrivals,New Kids,28.0,2022-04-04 11:29:28-06:00,Yes,"Handmade from 100% natural rattan, the Natural Rattan Rattle brings an incredible level of texture to decor. Aside from its beautiful design, this rattle has a lovely jingle from bells on the inside that makes it especially charming for little ones."
23,Elephant Silhouette,New Arrivals,New Kids,400.0,2022-01-20 10:56:23-07:00,Possible to order,"Simple yet elaborately crafted, Elephant Silhouette is endearingly textured and composed. A silkscreen print of an elephant is set on hand-made paper, floated in a matte white frame. With a neutral palette, this piece will complement nearly any children’s room and grow alongside them. 
Our art pieces are made to order and cannot be canceled, returned or exchanged."
24,Blue Parrot,New Arrivals,New Kids,375.0,2022-05-04 14:02:44-06:00,Possible to order,"An intricate giclee print of a mosaic, Blue Parrot is a unique study in detail. With aquatic blue and neutral stone hues, this coastal artwork is complemented by a distressed black and silver finished wood frame. 
Our art pieces are made to order and cannot be canceled, returned or exchanged."
